train_size,test_size,learning_rate,epochs,es_patience,batch_size,optimizer,tr_loss,tr_acc,va_loss,va_acc,test_loss,test_acc
2160.0,450.0,0.001,250.0,100.0,16.0,Adam,0.1481428444385528,0.9467592835426332,0.6856016705433527,0.8333333333333334,0.4572053257189691,0.8444444444444444
2160.0,450.0,0.01,250.0,100.0,16.0,Adam,0.3047855496406555,0.8796296119689941,0.6465094906588396,0.8458333333333333,0.6141850998666551,0.7777777777777778
2160.0,450.0,0.01,250.0,100.0,32.0,Adam,0.3488363623619079,0.880974292755127,1.250829311211904,0.8291666666666667,0.5110457752893368,0.8
2160.0,450.0,0.001,500.0,100.0,32.0,Adam,0.1387635469436645,0.9535845518112184,0.567553832133611,0.8666666666666667,0.4692023147477044,0.8288888888888889
2160.0,450.0,0.001,500.0,200.0,32.0,Adam,0.095206893980503,0.9678308963775636,0.6120344797770182,0.8625,0.641665116780334,0.8355555555555556
2160.0,450.0,0.001,500.0,200.0,16.0,Adam,0.1139562055468559,0.960185170173645,1.1046340743700662,0.9083333333333332,0.5845136912663778,0.7955555555555556
2160.0,450.0,0.001,500.0,200.0,16.0,Nadam,0.1056574210524559,0.9643518328666688,0.972930820969244,0.8458333333333333,0.4856407140360938,0.8088888888888889
2160.0,450.0,0.001,500.0,200.0,16.0,SGD,0.6266324520111084,0.7662037014961243,0.7004416306813558,0.7291666666666666,0.6856127834320068,0.7266666666666667
2160.0,450.0,0.001,500.0,200.0,32.0,SGD,0.8251267075538635,0.6709558963775635,0.8914180437723795,0.6125,0.9019318090544808,0.6555555555555556
2160.0,450.0,0.01,500.0,200.0,32.0,SGD,0.4056438505649566,0.8483455777168274,0.5459705591201782,0.7875,0.5805867883024944,0.7822222222222223
2160.0,450.0,0.01,500.0,200.0,32.0,RMSprop,0.2031424194574356,0.921875,9.710180912415186,0.8416666666666667,0.9437041637632582,0.8111111111111111
2160.0,450.0,0.001,500.0,200.0,32.0,RMSprop,0.1716047078371048,0.951286792755127,0.6999343077341715,0.8833333333333333,0.5782154242197672,0.8333333333333334
2160.0,450.0,0.001,120.0,200.0,32.0,RMSprop,0.3499757051467895,0.8681066036224365,0.5905543843905131,0.85,0.4860180688276887,0.8066666666666666
2160.0,450.0,0.001,150.0,200.0,32.0,RMSprop,0.269857794046402,0.9053308963775636,0.8469903826713562,0.8458333333333333,0.5774166536000039,0.7755555555555556
2160.0,450.0,0.001,150.0,200.0,32.0,Adagrad,1.1152842044830322,0.5404411554336548,1.0872572501500448,0.575,1.1395188358094956,0.5222222222222223
2160.0,450.0,0.001,500.0,200.0,32.0,Adagrad,0.939248025417328,0.6470588445663452,1.0057009299596151,0.6125,0.9808782402674358,0.6444444444444445
2160.0,450.0,0.001,1500.0,200.0,32.0,Adagrad,0.9988722205162048,0.5749080777168274,1.0669456164042157,0.5291666666666667,1.052821938726637,0.5488888888888889
2160.0,450.0,0.001,250.0,100.0,16.0,Adam,0.2665802538394928,0.8962963223457336,0.7460586110750834,0.8291666666666667,0.6066387752360768,0.7866666666666666
2160.0,450.0,0.001,250.0,200.0,32.0,Adam,0.1933331340551376,0.9310661554336548,0.7047280848026276,0.875,0.4956783440377977,0.8066666666666666
2160.0,450.0,0.001,100.0,200.0,32.0,Adam,0.3454763293266296,0.8740808963775635,0.4773302912712097,0.8416666666666667,0.5024035363727146,0.82
2160.0,450.0,0.001,150.0,200.0,32.0,Adam,0.2657103240489959,0.9021139740943908,0.7322229146957397,0.7916666666666666,0.5003416464063857,0.8177777777777778
2160.0,450.0,0.001,150.0,200.0,32.0,Adam,0.3221579492092132,0.8777573704719543,0.5275988419850667,0.8333333333333334,0.5058853335844146,0.8288888888888889
2160.0,450.0,0.01,150.0,200.0,16.0,Adam,0.3445310592651367,0.8587962985038757,0.7371105035146077,0.7916666666666666,0.6032495177454419,0.8044444444444444
2160.0,450.0,0.001,150.0,200.0,16.0,Adam,0.1742283403873443,0.9361110925674438,0.7822492788235347,0.8541666666666666,0.4650583299497763,0.8111111111111111
2160.0,450.0,0.001,250.0,200.0,16.0,Adam,0.147794023156166,0.942129611968994,0.6642627388238906,0.8166666666666667,0.5315780435957842,0.8088888888888889
2160.0,450.0,0.001,250.0,100.0,8.0,Adam,0.1291560381650924,0.9504629373550416,0.688415171043016,0.8416666666666667,0.4797848629165027,0.8222222222222222
2160.0,450.0,0.001,250.0,100.0,8.0,Adam,0.1079103574156761,0.9615740776062012,0.8393470454650621,0.8291666666666667,0.5630616064535247,0.8466666666666667
2160.0,450.0,0.001,250.0,100.0,32.0,Adam,0.2318860739469528,0.9136029481887816,0.6111596425374349,0.8458333333333333,0.538476227124532,0.8133333333333334
2160.0,450.0,0.001,250.0,100.0,32.0,Adam,0.085379421710968,0.9701286554336548,0.1685576712091764,0.9333333333333332,0.4252485487858454,0.88
2160.0,450.0,0.001,250.0,100.0,16.0,Adam,0.0764549151062965,0.968055546283722,0.3593632915600513,0.9208333333333332,0.2937092660533057,0.8711111111111111
2160.0,450.0,0.01,250.0,100.0,16.0,Adam,0.1356078088283538,0.9393518567085266,0.5201921383539836,0.875,0.32992914252811,0.86
2160.0,450.0,0.01,250.0,100.0,16.0,Adam,0.1274137496948242,0.9425926208496094,0.4950523334244887,0.9041666666666668,0.2797526409682986,0.8866666666666667
2160.0,450.0,0.01,250.0,100.0,16.0,Adam,0.1530264019966125,0.9347222447395324,0.4580510503302017,0.875,0.4281848588254717,0.8733333333333333
